"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"
"1"	-0.19446	-1.2282	0.50744	1.2282	0.078043	0.17901	-0.075319	0.11753	-0.10259	2.1018	-0.078043	-0.16271	0.63296	-0.56327	0.19446	-0.31337	0.5242	-0.31704	0.43779	0.10259	-0.63296	-0.27307	-0.49192	0.49629	0.77897	-0.13529	0.13529	1.1905	-0.010894	0.27307	-0.17901	0.075319	-0.77897	0.31704	-0.50744	-0.5242	0.31337	-0.0042593	0.49192	0.10639	0.0042593	-0.10639	-0.11753	-2.1018	0.010894	-0.43779	0.16271	-1.1905	0.56327	-0.49629
"2"	-0.56327	0.49192	0.13529	-0.16271	-0.13529	-0.10259	0.10639	-1.2282	0.17901	-0.5242	-0.77897	-2.1018	-0.19446	-0.31704	0.63296	-0.49629	-0.0042593	0.27307	0.56327	2.1018	0.010894	0.31704	0.49629	-0.075319	0.5242	-0.63296	-0.17901	1.1905	-0.50744	-0.43779	0.075319	0.0042593	-0.11753	-0.27307	-1.1905	0.078043	-0.31337	0.50744	-0.010894	0.43779	0.31337	0.77897	0.16271	0.10259	0.19446	1.2282	-0.49192	-0.10639	-0.078043	0.11753
"3"	-0.5242	-0.19446	0.27307	-0.13529	-0.010894	0.10639	-0.43779	-1.1905	-0.075319	0.19446	-0.77897	-0.27307	0.31337	-0.078043	0.49629	0.10259	0.010894	-1.2282	-0.31704	0.13529	0.49192	0.63296	0.56327	0.17901	-0.10639	0.77897	-0.17901	-0.16271	0.16271	0.11753	1.2282	0.5242	-0.31337	-0.0042593	1.1905	0.43779	-0.11753	-0.63296	0.078043	-0.56327	-0.49629	-0.10259	0.50744	-0.50744	2.1018	0.31704	0.075319	-2.1018	-0.49192	0.0042593
"4"	-0.77897	-0.075319	0.0042593	-1.2282	-0.078043	0.13529	0.10259	0.63296	0.49192	1.2282	-0.31704	0.10639	2.1018	0.5242	-0.0042593	-0.27307	-0.010894	-0.5242	0.31704	-0.63296	-0.16271	0.11753	-0.10639	0.075319	-0.49192	-0.13529	-0.10259	-0.43779	-1.1905	0.77897	0.49629	-0.49629	-0.50744	0.16271	-0.11753	-0.17901	-0.19446	-0.31337	0.56327	-0.56327	0.19446	0.50744	1.1905	0.17901	0.31337	0.27307	-2.1018	0.43779	0.078043	0.010894
"5"	-0.27307	0.075319	-0.16271	-1.2282	-0.075319	-0.50744	0.16271	-0.63296	0.5242	0.10259	1.1905	0.63296	-0.10259	-0.17901	-0.49629	0.31337	0.50744	0.27307	0.49629	-0.10639	0.43779	-0.13529	0.56327	0.77897	-1.1905	-0.19446	-0.31337	0.13529	-2.1018	0.10639	2.1018	0.19446	-0.31704	0.11753	0.17901	-0.49192	-0.0042593	-0.5242	-0.77897	-0.11753	0.0042593	0.49192	0.010894	0.31704	-0.010894	-0.078043	-0.56327	0.078043	1.2282	-0.43779
"6"	0.43779	0.77897	-0.010894	0.49192	0.49629	2.1018	0.31704	-0.078043	-0.43779	0.31337	0.16271	0.19446	-0.075319	-0.13529	0.11753	-2.1018	-0.17901	-1.2282	-0.27307	-0.31337	0.010894	0.5242	0.13529	0.56327	-0.0042593	-0.49192	-1.1905	0.075319	-0.10259	0.50744	0.27307	0.10259	0.17901	0.63296	-0.77897	-0.19446	-0.63296	0.078043	-0.49629	1.2282	-0.31704	1.1905	-0.11753	-0.10639	-0.50744	0.0042593	-0.16271	0.10639	-0.5242	-0.56327
"7"	-0.49629	-0.27307	-0.5242	1.1905	0.56327	-0.31704	-0.56327	-0.10259	0.13529	-0.50744	0.16271	-0.0042593	-0.16271	-0.77897	0.10639	0.49629	0.11753	0.078043	-0.19446	-0.49192	0.010894	-0.17901	-0.43779	2.1018	1.2282	-2.1018	0.63296	0.31704	0.31337	0.27307	-0.31337	-0.078043	-0.11753	-0.10639	0.43779	-0.13529	-0.63296	-1.1905	0.77897	0.19446	0.50744	0.17901	0.49192	0.075319	-1.2282	0.0042593	-0.075319	0.5242	0.10259	-0.010894
"8"	-0.27307	0.17901	0.0042593	-0.19446	2.1018	0.5242	-0.16271	0.010894	-0.49192	0.56327	-0.56327	0.078043	-0.5242	0.49192	0.10259	-0.63296	0.19446	0.31337	-0.49629	-0.11753	1.1905	-0.13529	-0.43779	-0.0042593	-0.50744	0.16271	0.27307	-2.1018	-0.77897	0.11753	0.63296	-0.078043	-0.010894	0.50744	0.075319	-0.31337	0.10639	-1.1905	0.13529	-0.10639	-0.075319	0.49629	-0.31704	-0.17901	-1.2282	0.77897	-0.10259	0.43779	1.2282	0.31704
"9"	-0.49192	-0.17901	1.1905	0.5242	-1.1905	-0.5242	0.10259	-0.19446	-0.078043	-0.31337	0.10639	0.0042593	0.16271	-2.1018	0.13529	0.77897	0.49629	0.31704	-0.10639	0.11753	0.19446	0.49192	-0.0042593	-0.31704	-0.010894	2.1018	1.2282	-0.50744	-0.63296	-0.13529	-1.2282	-0.075319	-0.49629	0.63296	-0.10259	0.17901	0.56327	-0.16271	0.010894	-0.27307	0.078043	0.43779	-0.43779	-0.77897	-0.11753	0.075319	0.31337	0.27307	-0.56327	0.50744
"10"	-0.10259	0.075319	0.31704	0.49192	0.27307	2.1018	-0.31704	-2.1018	-0.11753	-0.0042593	-0.77897	1.1905	0.10259	0.010894	0.5242	-0.31337	-0.49192	-1.1905	0.31337	-0.43779	-0.13529	0.17901	0.10639	0.43779	0.50744	-0.075319	0.63296	0.078043	-0.19446	0.11753	0.0042593	-0.10639	-0.27307	-0.078043	-0.49629	-0.5242	0.16271	-0.50744	0.49629	-1.2282	-0.17901	0.19446	1.2282	0.13529	0.56327	-0.63296	-0.16271	-0.010894	-0.56327	0.77897
"11"	-0.77897	-0.27307	2.1018	-0.31337	0.49192	-0.075319	-0.10639	0.13529	0.5242	-0.19446	-0.56327	-0.49629	-0.5242	-0.11753	-0.078043	-0.13529	0.0042593	0.10639	-0.49192	1.2282	-0.43779	0.31704	-0.16271	0.77897	0.075319	-0.10259	0.63296	0.49629	0.50744	-1.2282	0.43779	0.17901	0.078043	0.27307	-0.0042593	-0.50744	0.10259	0.010894	0.16271	1.1905	-2.1018	-0.010894	0.19446	0.56327	-0.17901	0.11753	-0.31704	-1.1905	-0.63296	0.31337
"12"	0.31704	-0.0042593	-0.10639	-0.010894	0.11753	-0.17901	0.43779	-0.078043	0.13529	-2.1018	-0.11753	-0.19446	-1.2282	1.2282	0.49192	0.17901	0.010894	-0.16271	1.1905	-0.56327	0.19446	0.50744	-0.075319	0.56327	0.5242	-1.1905	0.63296	0.31337	0.10639	-0.27307	0.16271	-0.43779	0.10259	2.1018	0.77897	-0.13529	-0.10259	0.27307	-0.31704	0.49629	0.078043	-0.50744	-0.77897	-0.5242	-0.49629	-0.31337	0.075319	-0.63296	0.0042593	-0.49192
"13"	0.17901	0.56327	0.31704	0.43779	0.5242	0.10259	0.19446	-0.10639	1.1905	-0.075319	-0.31704	0.63296	-0.17901	0.075319	-0.10259	-0.010894	-0.43779	-0.31337	0.49629	0.31337	-0.49629	0.010894	-0.0042593	-1.2282	-0.56327	-2.1018	-0.49192	0.16271	0.078043	-1.1905	-0.19446	0.77897	-0.11753	-0.50744	0.27307	-0.13529	1.2282	-0.5242	0.50744	0.0042593	-0.27307	-0.63296	0.13529	-0.078043	-0.77897	0.10639	0.11753	0.49192	-0.16271	2.1018
