"n_selection"	"var"	"var_se"	"dist"	"dist_se"	"z"	"z_se"	"w"	"w_se"	"evv"	"mean_cor"
"1"	5	0.902140342929368	0.292692976978791	1.36069775561542	0.0151702334465553	2.00190222165293	0.00091305327910899	0.998618595099589	2.52274685500301e-05	0.0651220480580801	0.0121357677904018
"2"	10	1.04562014532409	0.339243971874857	1.67797702048486	0.0184021490949269	1.99893604261567	0.000804678018461853	0.99751839014637	2.91564635736015e-05	0.326574610349633	0.0299956337021438
"3"	15	1.21374725404952	0.393791608890946	2.32600520573229	0.0143505107760231	1.99954442562934	0.000891502423990534	0.995936318867217	5.71748164728849e-05	0.300225776860036	0.000898321975402301
"4"	20	1.13627863679796	0.36865747052378	2.49830367640754	0.0138272684230888	1.995057546204	0.00129762537490005	0.991832385699858	7.79571195395937e-05	0.400984440062922	0.00117363038169978
"5"	25	1.25282957337079	0.406471587653712	3.5084000673104	0.0115335325742823	1.98104612238279	0.00300414347165112	0.975873595308506	0.00016715259844288	0.48872631070948	-0.00504517453734249
"6"	30	1.00950385533419	0.327526300098591	3.16295331852026	0.0136183712253897	1.96866205883096	0.00511431628088736	0.951521481706717	0.000252558702622382	0.644951830885759	0.00421438377510513
"7"	35	1.01137251042656	0.328132571867968	4.40980861371035	0.0182919687404606	1.9317678495694	0.00807891055648246	0.910788525017202	0.000365710720116124	0.736600526556698	0.00213606525634928
"8"	40	0.699690786131499	0.227009667356704	3.37047166543809	0.0209895735404171	1.93658135584835	0.00904159441628581	0.889298158485106	0.000437100206698192	0.779696279911848	0.00856366363126438
"9"	45	0.657626846614359	0.213362323263047	4.80025904191303	0.0171824081027457	1.84248775600781	0.0134166336761491	0.814783184969855	0.000230336357730455	0.944465990373281	-0.00579286815543755
"10"	50	0.52769299668358	0.171206215685522	3.8197740463635	0.0193875102080277	1.61740589480399	0.0224747517738095	0.668062873517981	0.000176312108984411	1.07250599581618	0.00185488697297798
"11"	5	0.831704592589665	0.269840601941755	1.35794544064321	0.0187071876493427	1.9994478962608	0.00094952123559048	0.998614171564138	2.87713716258505e-05	0.0249705423388929	-0.00632261686222715
"12"	10	1.20459215205696	0.390821301579286	1.94803622402076	0.0162679182913663	1.99952123303506	0.000784768185924232	0.99763281847257	3.69398381173723e-05	0.184328006174172	0.00547084743904514
"13"	15	1.22428980335668	0.397212063552845	2.36320525451453	0.0176761408671972	2.00138290270577	0.000919520358855146	0.995792146892502	5.86435880424535e-05	0.294366288811131	0.00180151383234406
"14"	20	1.25126997883147	0.405965588368601	2.71727677320381	0.0164641599520681	1.99940585930112	0.00103929239143758	0.993652909414379	8.17573951321979e-05	0.413790098958861	0.00995302099892261
"15"	25	1.30121721729914	0.422170612380166	3.73465611321892	0.0186853919976086	1.98489489142945	0.00205930360669678	0.98363444576927	0.000227751781530707	0.514272115416013	-0.00434816057233108
"16"	30	1.26670172370702	0.410972307537079	3.78140988158869	0.0177336625129295	1.9787117933355	0.00362519161477489	0.965530578939054	0.000208786271565698	0.534547074628623	0.000599303235234239
"17"	35	1.01062096445694	0.327888738157494	4.07464227922631	0.0327759759075632	1.86717368926103	0.015754413613914	0.833019853758546	0.000330217769016768	0.7043530373424	-0.00152180101182568
"18"	40	1.02871349369129	0.333758729765985	4.39802243213782	0.0284991282481475	1.85688610179567	0.0122916760351266	0.845698110383637	0.000493978610733058	0.792179698594991	-0.00344310693785376
"19"	45	0.618928618774689	0.20080696023226	4.55596802788058	0.0304583292067322	1.77502884684994	0.0171357342315911	0.766542740327738	0.000345866494878786	0.897448192537182	-0.00114971280001555
