"n_selection"	"var"	"var_se"	"dist"	"dist_se"	"z"	"z_se"	"w"	"w_se"	"evv"	"mean_cor"
"1"	5	0.811694109383882	0.263348343895444	1.3304269142063	0.0195276139142273	2.00164677168391	0.000816540104295705	0.998841155443963	3.12879281360976e-05	0.0651220480580801	0.0121357677904018
"2"	10	1.02235729220447	0.331696505689613	1.6634093457225	0.0181118908779065	2.00086378541408	0.000907421003877246	0.997285418966071	4.6835716168841e-05	0.326574610349633	0.0299956337021438
"3"	15	1.11616849914169	0.362132880304311	2.27109814482548	0.0119894813074061	1.99977447460735	0.000853771922757016	0.996055892042833	4.36345650761614e-05	0.300225776860036	0.000898321975402301
"4"	20	1.2332951802219	0.400133793618632	2.45455550429971	0.0191072123932004	1.99910468295478	0.000862457176985711	0.994670162031512	5.57245546173962e-05	0.400984440062922	0.00117363038169978
"5"	25	1.25565854415329	0.407389426975063	3.22606020068692	0.0154251362528992	1.99668322297868	0.000963696671663217	0.992432405029857	6.41448128215843e-05	0.48872631070948	-0.00504517453734249
"6"	30	0.907083792119076	0.294296843684475	2.87811732525227	0.0178280555884553	1.99574347403419	0.00146365790059998	0.986934266213371	0.000236484750769747	0.644951830885759	0.00421438377510513
"7"	35	1.14672951033778	0.372048181639155	3.89950545085811	0.028088330718072	1.99388066989318	0.00179756494296394	0.980832278896257	0.000259420304676734	0.736600526556698	0.00213606525634928
"8"	40	0.818695912146538	0.265620028684715	3.11698122536579	0.013676129059871	1.98979291274218	0.0028005757177489	0.965919044720248	0.000412939382424264	0.779696279911848	0.00856366363126438
"9"	45	0.96357451099266	0.312624853077218	4.41379689029223	0.0205660912533641	1.98800023030236	0.00269435247472527	0.964131544716843	0.000623569611440974	0.944465990373281	-0.00579286815543755
"10"	50	1.08059652982237	0.350591809473509	3.98099016787154	0.0379585026219966	1.8789899507974	0.0115618676649914	0.827268383478841	0.0012787871364057	1.07250599581618	0.00185488697297798
"11"	5	0.817525836122173	0.265240405893708	1.35616956877457	0.0225614294473144	2.00004364759491	0.000848785931491067	0.99882278888647	3.22074370311411e-05	0.0249705423388929	-0.00632261686222715
"12"	10	1.32427658968767	0.429652060698667	1.96515392072436	0.0254385205521799	2.00009950403955	0.000732123715183564	0.99781314603845	3.75851771444209e-05	0.184328006174172	0.00547084743904514
"13"	15	1.30304712028751	0.422764311306776	2.34624523861931	0.0153637660709305	1.99974026205276	0.000812772081548695	0.996263839638106	4.58380649255443e-05	0.294366288811131	0.00180151383234406
"14"	20	1.39563044033449	0.452802306808827	2.67399680706935	0.0156890714106618	1.99913237726828	0.000895180197240895	0.99446135629479	5.57570157075458e-05	0.413790098958861	0.00995302099892261
"15"	25	1.29082694176119	0.418799561852753	3.48978438053418	0.0160444424007158	1.99772083400488	0.000935894735874169	0.992776521403944	8.37384006655319e-05	0.514272115416013	-0.00434816057233108
"16"	30	1.27012783192012	0.412083883823633	3.46492649695225	0.0184695534779245	1.99762211862376	0.000987358338111059	0.990880409068341	0.000107357202224438	0.534547074628623	0.000599303235234239
"17"	35	1.20283330137016	0.390250655063349	3.82173127835836	0.0311576743475291	1.98675198826122	0.00387964849564951	0.959162495030783	0.000553306232961902	0.7043530373424	-0.00152180101182568
"18"	40	1.0765860131291	0.349290626038609	3.92319212238718	0.0226599658259999	1.97984838183335	0.00294680276791952	0.963375438662035	0.00042367664893183	0.792179698594991	-0.00344310693785376
"19"	45	1.02250766796847	0.331745294029895	4.32625659114431	0.0340607797772952	1.96558939257197	0.00507226118110757	0.930130386279505	0.00068913588007111	0.897448192537182	-0.00114971280001555
"20"	50	1.34808252434932	0.437375725802985	4.89132074380389	0.0381585546909204	1.83541120215603	0.0112967446627258	0.824153512609825	0.0013661390721815	1.0233102409544	-0.004835286550124
"21"	5	0.835888096539801	0.271197909853949	1.28583271837382	0.0181324625293588	1.99959773760917	0.000819212205306688	0.99876984735251	1.98275618363081e-05	0.105490758408882	0.0521628386786391
"22"	10	0.948174014787619	0.307628272316216	1.61278741846596	0.0183544144940038	2.00194048647729	0.000834009694777567	0.997493483198398	4.6009932629885e-05	0.148689697997293	0.031629043975009
"23"	15	1.29906144605519	0.421471187830513	2.45224707086338	0.0132043702634448	2.00143473873714	0.000913671632993846	0.995829221771615	6.04698237476443e-05	0.284197492112733	-0.00852527960784116
"24"	20	0.958829940782797	0.31108551123302	2.44533454187773	0.0166761642426347	2.00000214563325	0.000836925254022366	0.994794083026884	4.27175150519752e-05	0.402687409858553	0.00969321242653968
"25"	25	1.13371067183049	0.367824312670908	2.65930133356925	0.0156158472189511	1.99884606852571	0.000868611131551193	0.993279762827578	6.73412100668729e-05	0.566450078882278	0.00769809612313607
"26"	30	1.19203538840992	0.386747349492035	3.08726641489644	0.0180145125887049	1.99919078020515	0.00119775968915638	0.989055378205045	0.000141443977477804	0.56532774993861	0.00186503394780461
"27"	35	1.30827411461252	0.424460172202068	4.0829272021019	0.0214257988284612	1.99641477966488	0.00182935572569876	0.981139319586204	0.000346561504325404	0.705243409557875	-0.00907416956285591
"28"	40	1.26059457970134	0.408990888377775	4.16593789428016	0.0206978949544498	1.98257627003774	0.0033825141002467	0.959286640733983	0.000610882700439978	0.83188446851565	-0.00517792778437918
"29"	45	1.32742063750474	0.430672124508645	4.5825348577666	0.0261528073483848	1.91528500568732	0.00807319548040061	0.887929552720658	0.00110489349438216	0.854634724358373	-0.0057906130503514
