"n_selection"	"var"	"var_se"	"dist"	"dist_se"	"dist_ls"	"dist_ls_se"	"z"	"z_se"	"w"	"w_se"	"evv"	"mean_cor"
"1"	5	53.2604867844842	17.2799837125904	7.29011376660215	0.197709740724631	3.1574497303831	0.162893243924322	2.0172099033996	0.0134112063005671	0.999547573720456	1.26611531275875e-05	0.0651220480580801	0.0121357677904018
"2"	10	47.1458143090646	15.296121995167	6.98283511040705	0.157297845121495	3.96741805673545	0.150535439254142	2.00425349209356	0.0104917155975369	0.99890452381245	2.11393756591481e-05	0.326574610349633	0.0299956337021438
"3"	15	41.65795280669	13.515624611399	6.73439266803645	0.136522000004281	4.78254707511529	0.194906987918777	1.99876226391083	0.00912611928390043	0.998134182284955	3.57727989242582e-05	0.300225776860036	0.000898321975402301
"4"	20	34.0563493599313	11.0493387833876	6.1672312646843	0.173335117838914	5.52308756263121	0.1960315769561	1.9982428228323	0.00764474539216446	0.997670818593784	3.63080115140318e-05	0.400984440062922	0.00117363038169978
"5"	25	30.4675491780971	9.88497825208461	6.3727460571874	0.146599177879792	6.10087978039594	0.187370790783495	1.96309094421254	0.00893486915169219	0.994864631469858	7.90163785892646e-05	0.48872631070948	-0.00504517453734249
"6"	30	23.3420746792118	7.57316905320425	5.62322435456335	0.133766221576323	6.23850363800823	0.194781278738295	1.95011946821194	0.00994001452959128	0.990800487114022	0.00021123599709281	0.644951830885759	0.00421438377510513
"7"	35	20.4851748501369	6.64626835260273	5.92963998462527	0.142805997502301	7.03552046950053	0.195874513559687	1.89431149752549	0.0129518406689796	0.977792767536242	0.000294631317351449	0.736600526556698	0.00213606525634928
"8"	40	13.5454082811166	4.39471076231826	4.72302835546214	0.163055054950713	6.76912880181297	0.14954160863499	1.91616125263519	0.0136463634011828	0.969352342971974	0.000428824441169506	0.779696279911848	0.00856366363126438
"9"	45	13.6101554059051	4.41571750351293	5.8446038167156	0.129770239207208	7.92542809018272	0.131854747780837	1.82845939645103	0.0159781029017278	0.943473757721194	0.000592030691571057	0.944465990373281	-0.00579286815543755
"10"	50	8.11761763122293	2.63370293666624	4.78734815708517	0.0920219514166867	7.43104556011236	0.160959551147178	1.63037943965659	0.0233164303591253	0.843860981531897	0.000782650744357605	1.07250599581618	0.00185488697297798
"11"	5	52.9543410345012	17.1806569153197	7.27837735620386	0.182605242468907	2.97410926133032	0.138495575910058	2.02938584910072	0.0145352183312216	0.999455734658142	1.97633365397821e-05	0.0249705423388929	-0.00632261686222715
"12"	10	47.0141722091105	15.2534116580966	6.99085735192975	0.192458586846277	4.19286781625356	0.193755789946962	1.99073801484666	0.0121048555625675	0.998539038660434	3.30813432604425e-05	0.184328006174172	0.00547084743904514
"13"	15	41.7939047387389	13.5597332426439	6.71057278384996	0.162548013059809	4.66316209710774	0.131447584459929	2.00419779816494	0.00904143788471308	0.998167316556366	2.77314079721577e-05	0.294366288811131	0.00180151383234406
"14"	20	33.8081822060477	10.9688227266256	6.27845144687154	0.135856913375246	5.46752045344414	0.253360122775169	2.00037654358655	0.00768511213521314	0.99764646059789	3.4907429113923e-05	0.413790098958861	0.00995302099892261
"15"	25	30.3430138906482	9.84457366946285	6.49013431575521	0.135118507519569	6.22751098081029	0.160826552690798	1.96999340425247	0.00817692108611273	0.995726708843102	5.69393210471924e-05	0.514272115416013	-0.00434816057233108
"16"	30	25.6894130932942	8.33474620001881	6.11683539367877	0.134047003632447	6.50124846588724	0.195980736280382	1.9561214438052	0.00877219550396484	0.992826178112109	0.000128850754436727	0.534547074628623	0.000599303235234239
"17"	35	21.9330781753746	7.11603022276275	5.99590548622015	0.127434585376179	6.9156024644179	0.213474280137462	1.84968867423414	0.0174561776480295	0.959702737373197	0.000683742435047762	0.7043530373424	-0.00152180101182568
"18"	40	14.4385437398538	4.68448216907553	5.53849340332982	0.123273509482981	7.31844634542612	0.147716874182602	1.82793386733781	0.0158871944580066	0.954870238042222	0.000602181348293207	0.792179698594991	-0.00344310693785376
